dimension,kappa_true,population_r_bar,mpmath_mle,method,kind,kappa_hat,abs_error,rel_error
256,50.0,0.18842805020212178,50.0,Banerjee (Torch),closed_form,50.006373485900475,0.006373485900475373,0.00012746971800950746
256,50.0,0.18842805020212178,50.0,Sra two-step (CUSF),sra,49.999999999999474,5.258016244624741e-13,1.0516032489249483e-14
256,50.0,0.18842805020212178,50.0,Converged Newton (CUSF),converged,49.999999999999474,5.258016244624741e-13,1.0516032489249483e-14
256,50.0,0.18842805020212178,50.0,SciPy Brent,reference,49.999999999999524,4.760636329592671e-13,9.521272659185343e-15
256,50.0,0.18842805020212178,50.0,Direct likelihood,reference,49.9999988755164,1.124483603121007e-06,2.248967206242014e-08
256,200.0,0.5477972045074087,200.00000000000003,Banerjee,closed_form,200.1258087667285,0.12580876672851105,0.0006290438336425552
256,200.0,0.5477972045074087,200.00000000000003,Sra two-step (SciPy),sra,199.99999999999005,9.947598300641403e-12,4.973799150320701e-14
256,200.0,0.5477972045074087,200.00000000000003,Converged Newton (SciPy),converged,199.99999999999005,9.947598300641403e-12,4.973799150320701e-14
256,200.0,0.5477972045074087,200.00000000000003,Banerjee (Torch),closed_form,200.1258087667285,0.12580876672851105,0.0006290438336425552
256,200.0,0.5477972045074087,200.00000000000003,Sra two-step (CUSF),sra,199.99999999998687,1.3130829756846651e-11,6.565414878423326e-14
256,200.0,0.5477972045074087,200.00000000000003,Converged Newton (CUSF),converged,199.99999999998687,1.3130829756846651e-11,6.565414878423326e-14
256,200.0,0.5477972045074087,200.00000000000003,SciPy Brent,reference,200.00000000000472,4.718003765447065e-12,2.3590018827235325e-14
256,200.0,0.5477972045074087,200.00000000000003,Direct likelihood,reference,199.9999993474987,6.525013134250912e-07,3.262506567125456e-09
256,1000.0,0.8805400655912787,1000.0,Banerjee,closed_form,1000.3843167705187,0.3843167705186943,0.0003843167705186943
256,1000.0,0.8805400655912787,1000.0,Sra two-step (SciPy),sra,1000.0000000002152,2.1520918380701914e-10,2.1520918380701915e-13
256,1000.0,0.8805400655912787,1000.0,Converged Newton (SciPy),converged,1000.0000000002152,2.1520918380701914e-10,2.1520918380701915e-13
256,1000.0,0.8805400655912787,1000.0,Banerjee (Torch),closed_form,1000.3843167705187,0.3843167705186943,0.0003843167705186943
256,1000.0,0.8805400655912787,1000.0,Sra two-step (CUSF),sra,1000.000000000415,4.149569576838985e-10,4.149569576838985e-13
256,1000.0,0.8805400655912787,1000.0,Converged Newton (CUSF),converged,1000.000000000415,4.149569576838985e-10,4.149569576838985e-13
256,1000.0,0.8805400655912787,1000.0,SciPy Brent,reference,999.999999999949,5.10453901370056e-11,5.10453901370056e-14
256,1000.0,0.8805400655912787,1000.0,Direct likelihood,reference,1000.000003717196,3.7171960229898104e-06,3.7171960229898104e-09
1024,1.0,0.000976561570494635,1.0,Banerjee,closed_form,1.0000000009276881,9.276881485220656e-10,9.276881485220656e-10
1024,1.0,0.000976561570494635,1.0,Sra two-step (SciPy),sra,,,
1024,1.0,0.000976561570494635,1.0,Converged Newton (SciPy),converged,0.9990234393571935,0.0009765606428064899,0.0009765606428064899
1024,1.0,0.000976561570494635,1.0,Banerjee (Torch),closed_form,1.0000000009276881,9.276881485220656e-10,9.276881485220656e-10
1024,1.0,0.000976561570494635,1.0,Sra two-step (CUSF),sra,0.9999999999998082,1.9184653865522705e-13,1.9184653865522705e-13
1024,1.0,0.000976561570494635,1.0,Converged Newton (CUSF),converged,1.0000000009276881,9.276881485220656e-10,9.276881485220656e-10
1024,1.0,0.000976561570494635,1.0,SciPy Brent,reference,,,
1024,1.0,0.000976561570494635,1.0,Direct likelihood,reference,0.9999999867414199,1.3258580122688102e-08,1.3258580122688102e-08
1024,10.0,0.009764695669426709,10.0,Banerjee,closed_form,10.000000927339821,9.273398209330708e-07,9.273398209330707e-08
1024,10.0,0.009764695669426709,10.0,Sra two-step (SciPy),sra,,,
1024,10.0,0.009764695669426709,10.0,Converged Newton (SciPy),converged,9.990236231670394,0.009763768329605682,0.0009763768329605682
1024,10.0,0.009764695669426709,10.0,Banerjee (Torch),closed_form,10.000000927339821,9.273398209330708e-07,9.273398209330707e-08
1024,10.0,0.009764695669426709,10.0,Sra two-step (CUSF),sra,9.999999999996962,3.0375701953744283e-12,3.0375701953744283e-13
1024,10.0,0.009764695669426709,10.0,Converged Newton (CUSF),converged,10.000000000001586,1.5862866575844237e-12,1.5862866575844236e-13
1024,10.0,0.009764695669426709,10.0,SciPy Brent,reference,,,
1024,10.0,0.009764695669426709,10.0,Direct likelihood,reference,10.0000017072794,1.7072794005201786e-06,1.7072794005201787e-07
1024,50.0,0.048712485232294885,50.0,Banerjee,closed_form,50.00011487116471,0.00011487116471187164,2.297423294237433e-06
1024,50.0,0.048712485232294885,50.0,Sra two-step (SciPy),sra,,,
1024,50.0,0.048712485232294885,50.0,Converged Newton (SciPy),converged,49.95140238593242,0.048597614067581674,0.0009719522813516335
1024,50.0,0.048712485232294885,50.0,Banerjee (Torch),closed_form,50.00011487116471,0.00011487116471187164,2.297423294237433e-06
1024,50.0,0.048712485232294885,50.0,Sra two-step (CUSF),sra,49.99999999998185,1.814726147131296e-11,3.6294522942625916e-13
1024,50.0,0.048712485232294885,50.0,Converged Newton (CUSF),converged,49.999999999989996,1.000444171950221e-11,2.0008883439004421e-13
1024,50.0,0.048712485232294885,50.0,SciPy Brent,reference,,,
1024,50.0,0.048712485232294885,50.0,Direct likelihood,reference,50.00022998021452,0.0002299802145202534,4.599604290405068e-06
1024,200.0,0.18839306996248453,200.0,Banerjee,closed_form,200.0064353701964,0.0064353701964137144,3.217685098206857e-05
1024,200.0,0.18839306996248453,200.0,Sra two-step (SciPy),sra,199.99999999994694,5.306333150656428e-11,2.6531665753282143e-13
