dimension,kappa_true,num_samples,replicate,r_bar,mpmath_mle,method,kind,kappa_hat,numerical_rel_error,statistical_rel_error
3,1000.0,10000,0,0.99897598801967,976.5510748006702,Converged Newton (SciPy),converged,976.5510747884671,1.2496166842608947e-11,0.023448925211532922
3,1000.0,10000,1,0.9990002598483193,1000.2599158580041,Converged Newton (SciPy),converged,1000.259915916087,5.806785369647082e-11,0.0002599159160870386
3,1000.0,10000,2,0.998983334593514,983.6077765804574,Converged Newton (SciPy),converged,983.6077765733228,7.253546631869126e-12,0.01639222342667722
3,1000.0,10000,3,0.998995873197469,995.8901579754335,Converged Newton (SciPy),converged,995.8901578769121,9.892793280571403e-11,0.004109842123087901
3,1000.0,10000,4,0.9990070905723085,1007.1412075570739,Converged Newton (SciPy),converged,1007.1412075146841,4.2089274501925455e-11,0.007141207514684084
3,1000.0,10000,5,0.998999415858758,999.4161997797411,Converged Newton (SciPy),converged,999.4161997833636,3.6246334589732796e-12,0.0005838002166364049
3,1000.0,10000,6,0.9990054646826564,1005.4947095000925,Converged Newton (SciPy),converged,1005.4947094308292,6.88848625129191e-11,0.005494709430829176
3,1000.0,10000,7,0.9989819624522499,982.2820407852752,Converged Newton (SciPy),converged,982.2820407486005,3.7336213231230206e-11,0.01771795925139952
3,1000.0,10000,8,0.9990228868302622,1023.4229063439319,Converged Newton (SciPy),converged,1023.4229064203302,7.464972358580167e-11,0.02342290642033015
3,1000.0,10000,9,0.9990034741060434,1003.486217532798,Converged Newton (SciPy),converged,1003.4862175361667,3.356951624917662e-12,0.0034862175361666916
3,1000.0,10000,10,0.9989992292824131,999.2298759612777,Converged Newton (SciPy),converged,999.229875973081,1.1812405570256133e-11,0.0007701240269190066
3,1000.0,10000,11,0.9989999379875403,999.937991385583,Converged Newton (SciPy),converged,999.9379913885284,2.9455812431031655e-12,6.200861147158321e-05
3,1000.0,10000,12,0.9990000532603692,1000.0532632060432,Converged Newton (SciPy),converged,1000.0532631429281,6.311170541878922e-11,5.326314292813095e-05
3,1000.0,10000,13,0.9990075961573787,1007.6543006510323,Converged Newton (SciPy),converged,1007.6543006266334,2.421356278821101e-11,0.007654300626633357
3,1000.0,10000,14,0.9989898695543756,989.9711510842474,Converged Newton (SciPy),converged,989.9711511465632,6.29471357959527e-11,0.010028848853436785
3,1000.0,10000,15,0.9989999135475328,999.913555006197,Converged Newton (SciPy),converged,999.9135550288644,2.2669296099447526e-11,8.644497113562011e-05
3,1000.0,10000,16,0.9989842162072038,984.4614642326977,Converged Newton (SciPy),converged,984.4614641942866,3.9017418032980215e-11,0.015538535805713422
3,1000.0,10000,17,0.9990049070085448,1004.9312060148804,Converged Newton (SciPy),converged,1004.9312060235969,8.673711675767141e-12,0.004931206023596929
3,1000.0,10000,18,0.9990077600364845,1007.8207256004997,Converged Newton (SciPy),converged,1007.8207255580494,4.2120908080596045e-11,0.007820725558049389
3,1000.0,10000,19,0.9990287847656417,1029.6378852219498,Converged Newton (SciPy),converged,1029.637885190469,3.057462755756236e-11,0.029637885190468977
3,1000.0,10000,0,0.99897598801967,976.5510748006702,Banerjee (Torch),closed_form,977.0497946545466,0.000510695105197872,0.022950205345453355
3,1000.0,10000,1,0.9990002598483193,1000.2599158580041,Banerjee (Torch),closed_form,1000.7586660578314,0.0004986206004261491,0.0007586660578314195
3,1000.0,10000,2,0.998983334593514,983.6077765804574,Banerjee (Torch),closed_form,984.1065056194352,0.000507040561138742,0.01589349438056479
3,1000.0,10000,3,0.998995873197469,995.8901579754335,Banerjee (Torch),closed_form,996.3889026908219,0.0005008029363422033,0.003611097309178149
3,1000.0,10000,4,0.9990070905723085,1007.1412075570739,Banerjee (Torch),closed_form,1007.6399662969716,0.0004952222549879021,0.007639966296971579
3,1000.0,10000,5,0.998999415858758,999.4161997797411,Banerjee (Torch),closed_form,999.9149489243388,0.0004990404845424898,8.50510756612266e-05
3,1000.0,10000,6,0.9990054646826564,1005.4947095000925,Banerjee (Torch),closed_form,1005.9934662072222,0.0004960311600024931,0.0059934662072222405
3,1000.0,10000,7,0.9989819624522499,982.2820407852752,Banerjee (Torch),closed_form,982.7807681087509,0.000507723141387161,0.01721923189124914
3,1000.0,10000,8,0.9990228868302622,1023.4229063439319,Banerjee (Torch),closed_form,1023.9216848330797,0.0004873630305281964,0.023921684833079666
3,1000.0,10000,9,0.9990034741060434,1003.486217532798,Banerjee (Torch),closed_form,1003.9849717512571,0.0004970214934145927,0.003984971751257149
3,1000.0,10000,10,0.9989992292824131,999.2298759612777,Banerjee (Torch),closed_form,999.7286248726356,0.0004991333059153055,0.00027137512736442204
