dimension,kappa_true,num_samples,seed,r_bar,banerjee,sra_two_step,cusf_converged,scipy_brentq,direct_likelihood,newton_iterations,newton_converged
1024,50.0,10000,7,0.0495766495007259,50.8914504922503,50.89132940861313,50.89132940859776,nan,50.89133713649464,1,True
1024,50.0,10000,8,0.04978470650060596,51.10608336086141,51.10596074886731,51.105960748851395,nan,51.10593885441655,1,True
1024,50.0,10000,9,0.049888217693026655,51.21287110254157,51.21274772540788,51.212747725390294,nan,51.21274376544896,1,True
1024,50.0,10000,10,0.04938400486791738,50.69272895835211,50.69260927850919,50.69260927848838,nan,50.69259158523896,1,True
1024,50.0,10000,11,0.05021361909249747,51.54859435632793,51.54846855321435,51.54846855320887,nan,51.54846545241362,1,True
1024,50.0,10000,12,0.049832303773784385,51.155186870447885,51.15506390701042,51.155063907009676,nan,51.15503798163219,1,True
1024,50.0,10000,13,0.04896285081206643,50.25832919619908,50.25821254751379,50.25821254751718,nan,50.2581913896792,1,True
1024,50.0,10000,14,0.050363554547447294,51.70329688285364,51.7031699513305,51.703169951320774,nan,51.703165703440334,1,True
1024,50.0,10000,15,0.04974847859675766,51.068709477123285,51.068587132159756,51.06858713216815,nan,51.06855402137981,1,True
1024,50.0,10000,16,0.050108146201006516,51.43977223076926,51.439647217430604,51.439647217429446,nan,51.43963452846019,1,True
1024,50.0,10000,17,0.05012442223686349,51.45656487793614,51.45643974294843,51.45643974293925,nan,51.45641066274325,1,True
1024,50.0,10000,18,0.049351031197167786,50.65871628377919,50.658596843118744,50.658596843128656,nan,50.65856845903777,1,True
1024,50.0,10000,19,0.0501015743768482,51.43299183618846,51.43286687195394,51.43286687195323,nan,51.43284577710057,1,True
4096,50.0,10000,0,0.015902272273308333,65.1521790405731,65.15217502405034,65.1521750240443,nan,65.1519873462776,1,True
4096,50.0,10000,1,0.015735165004515436,64.46719374430478,64.46718985312664,64.46718985302786,nan,64.46704579415237,1,True
4096,50.0,10000,2,0.015474734387989898,63.399690506836244,63.399686805774564,63.399686805806056,nan,63.39963906869011,1,True
4096,50.0,10000,3,0.015764420453110158,64.5871132507514,64.58710933781282,64.58710933780134,nan,64.58703204711318,1,True
4096,50.0,10000,4,0.01598612660389035,65.49590837250807,65.49590429226305,65.49590429211624,nan,65.49581985401818,1,True
4096,50.0,10000,5,0.015659161384226964,64.15565275498614,64.15564892000023,64.15564891983973,nan,64.15552516269693,1,True
4096,50.0,10000,6,0.01556498825562611,63.76963752147914,63.76963375501947,63.76963375503665,nan,63.76949873934221,1,True
4096,50.0,10000,7,0.01583303178193912,64.86835572669135,64.86835176241313,64.86835176236666,nan,64.86830058459051,1,True
4096,50.0,10000,8,0.015531671578676076,63.63307342538495,63.633069683308,63.63306968321903,nan,63.6329867306809,1,True
4096,50.0,10000,9,0.015845339306998746,64.91880529771399,64.91880132440157,64.91880132437545,nan,64.9187519675009,1,True
