statistic,null,p,n,quantile,value,method,reps,seed,tool_version
kappa_hat,uniform,64,100,0.95,7.411973545670947,closed_form,,,0.1.0
kappa_hat,uniform,64,100,0.99,7.834656119991267,closed_form,,,0.1.0
kappa_hat,uniform,64,500,0.5,2.8527245863353228,closed_form,,,0.1.0
kappa_hat,uniform,64,500,0.9,3.1847225447358625,closed_form,,,0.1.0
kappa_hat,uniform,64,500,0.95,3.2810004351035817,closed_form,,,0.1.0
kappa_hat,uniform,64,500,0.99,3.464024329204029,closed_form,,,0.1.0
kappa_hat,uniform,64,700,0.5,2.409668180021419,closed_form,,,0.1.0
kappa_hat,uniform,64,700,0.9,2.689740499222957,closed_form,,,0.1.0
kappa_hat,uniform,64,700,0.95,2.7709384232051417,closed_form,,,0.1.0
kappa_hat,uniform,64,700,0.99,2.9252666368958313,closed_form,,,0.1.0
kappa_hat,uniform,64,1000,0.5,2.015242996055257,closed_form,,,0.1.0
kappa_hat,uniform,64,1000,0.9,2.249244408099086,closed_form,,,0.1.0
kappa_hat,uniform,64,1000,0.95,2.317071930666434,closed_form,,,0.1.0
kappa_hat,uniform,64,1000,0.99,2.4459698136076913,closed_form,,,0.1.0
kappa_hat,uniform,64,10000,0.5,0.6367253182514843,closed_form,,,0.1.0
kappa_hat,uniform,64,10000,0.9,0.7105085096817901,closed_form,,,0.1.0
kappa_hat,uniform,64,10000,0.95,0.7318862501889332,closed_form,,,0.1.0
kappa_hat,uniform,64,10000,0.99,0.7725001361170878,closed_form,,,0.1.0
kappa_hat,uniform,128,50,0.5,18.41574773042574,closed_form,,,0.1.0
kappa_hat,uniform,128,50,0.9,19.980950973466733,closed_form,,,0.1.0
kappa_hat,uniform,128,50,0.95,20.434737795971877,closed_form,,,0.1.0
kappa_hat,uniform,128,50,0.99,21.297918126885982,closed_form,,,0.1.0
kappa_hat,uniform,128,70,0.5,15.475708747505522,closed_form,,,0.1.0
kappa_hat,uniform,128,70,0.9,16.774500966221936,closed_form,,,0.1.0
kappa_hat,uniform,128,70,0.95,17.15033525655241,closed_form,,,0.1.0
kappa_hat,uniform,128,70,0.99,17.864314986459473,closed_form,,,0.1.0
kappa_hat,uniform,128,100,0.5,12.892977111596782,closed_form,,,0.1.0
kappa_hat,uniform,128,100,0.9,13.964812531582023,closed_form,,,0.1.0
kappa_hat,uniform,128,100,0.95,14.274532708395215,closed_form,,,0.1.0
kappa_hat,uniform,128,100,0.99,14.862348583318008,closed_form,,,0.1.0
kappa_hat,uniform,128,500,0.5,5.720628643125374,closed_form,,,0.1.0
kappa_hat,uniform,128,500,0.9,6.187878930872768,closed_form,,,0.1.0
kappa_hat,uniform,128,500,0.95,6.322542165100574,closed_form,,,0.1.0
kappa_hat,uniform,128,500,0.99,6.577663372773027,closed_form,,,0.1.0
kappa_hat,uniform,128,700,0.5,4.832103478230168,closed_form,,,0.1.0
kappa_hat,uniform,128,700,0.9,5.226283653811449,closed_form,,,0.1.0
kappa_hat,uniform,128,700,0.95,5.339866565717634,closed_form,,,0.1.0
kappa_hat,uniform,128,700,0.99,5.55502356271345,closed_form,,,0.1.0
kappa_hat,uniform,128,1000,0.5,4.041128930640425,closed_form,,,0.1.0
kappa_hat,uniform,128,1000,0.9,4.370473762199894,closed_form,,,0.1.0
kappa_hat,uniform,128,1000,0.95,4.4653610793112675,closed_form,,,0.1.0
kappa_hat,uniform,128,1000,0.99,4.64508644716704,closed_form,,,0.1.0
kappa_hat,uniform,128,10000,0.5,1.276790488182846,closed_form,,,0.1.0
